Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666
Decision Tree,0.6666666666666666,0.47619047619047616,0.5263157894736842,0.5
Random Forest,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666
